Formula,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40
CrCuO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59892.23125,192835.75000000012,302934.1000000001,379136.95,441305.26250000007,556594.4000000001,778908.375,828248.2,791052.9625,765506.375,779693.9625,733407.7499999999,680945.1375,708476.6500000005,986250.575,1022393.0,1021718.75,1064388.75,1056979.0,1088558.0,967396.2124999994,936482.75,1081582.7500000005,1227100.0000000005,1344108.2499999998,1443194.75,1486845.625,1428422.4999999995,1316417.1250000002,1204693.25,1220112.25,1171280.0000000002
Cr3CuO8,0.0,0.0,30859.8625,85562.23999999999,119523.625,141757.75,168197.05,210310.6,235846.55,268789.25,334445.075,386491.4,385127.45,473244.1,564786.125,631128.0,664930.4,710290.3,773135.7250000001,817128.0,852962.675,967740.55,1038019.5,1007558.8,998835.875,1065437.5,1133977.5,1178355.0,1208285.0000000002,1283170.0,1359479.5,1423598.0,1432965.25,1437496.4999999998,1363450.0,1364722.0,1267831.0000000002,1174753.9999999995,1075168.9999999998,943328.0
CrCuO4,0.0,859.7475125000001,4824.629687499999,25734.959999999995,31048.1125,38355.62,38402.95999999998,92456.30499999998,167976.0875,246292.25,320761.8125,361749.35,358070.05,473958.8749999999,597252.4999999999,791126.0999999999,885932.0375,890085.7999999999,904155.4375,913793.625,946295.58125,990985.9,1040485.375,1095631.5,1101593.75,1121402.75,1048772.375,1049923.7499999998,1213342.4375,1253118.75,1362837.5625,1489567.9999999998,1435337.6250000005,1283780.2499999998,1244585.625,1244165.5000000002,1081083.6250000002,986206.7625000004,845316.2062499998,771056.75
Li3Cr2CuO6,0.0,0.0,0.0,0.0,7633.087500000007,57731.41500000001,143464.125,217480.60000000003,253357.525,248717.5,256658.975,273325.4,227734.475,185193.65,193181.875,207544.80000000005,282579.5250000001,350715.75,374104.1500000001,421624.5,487579.7750000001,503398.0,529553.2999999999,593722.2000000001,624795.0,744408.05,888143.7,948082.5,1033571.25,1109945.0,1141043.25,1176918.0,1195755.5,1204154.5,1165873.75,1170425.0,1176720.75,1141456.5,1132196.5,1108820.0
NCl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19947.24062499997,68238.54375000004,60318.15937499997,25108.525,40692.54062500003,103711.25000000004,178531.96875,158851.50000000003,315605.6562500004,494167.1875,345459.0624999999,212999.62499999988,174570.4375,140689.68750000003,110274.0625,107960.00000000007,354416.21874999994,483071.0,377756.8750000001,184397.4999999999,117802.15624999994,110893.1875,139980.1250000001,226223.0,735847.5625000014,1297148.7499999995,858799.1875,474191.3750000001,408525.46875,438505.3125000002,521898.18750000047,1005965.75
Cr5Cu(GeO6)2,0.0,0.0,6585.794062500003,21470.0875,34068.08750000001,68057.00000000003,103104.84375000004,154883.25,170404.84375,114044.12499999996,93175.584375,86311.5,103841.875,136224.81250000006,182033.5312500001,237905.0000000001,314288.46875,351351.6875,389952.21875000006,431813.0000000001,477031.4687500001,523225.5000000002,584271.6562500003,730178.7500000005,844125.2187500002,895355.875,923983.71875,990154.3750000002,1103860.3125000002,1204745.6250000002,1249565.0000000002,1284370.0,1294103.75,1291101.875,1276355.3125,1224461.25,1178999.0625,1135939.375,1112044.9999999998,1070082.4999999998
Mn2As2O7,0.0,0.0,0.0,0.0,0.0,0.0,2256.69625,4399.824,8634.471500000003,17193.825000000004,31561.42000000001,50750.81000000001,77218.19000000002,105175.30000000002,123353.125,144799.8,220536.025,281456.75,319651.75,348274.00000000006,353997.85,355857.2,347719.15,352325.80000000005,409069.75,486118.6500000001,557854.3999999999,612785.9,635213.325,703769.0000000001,795825.2,817833.2,874471.2500000001,956246.8499999996,1034757.5,1160569.0,1211043.0,1224749.0,1252005.0,1302210.0
Cs2InCl5O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14114.559375000012,32374.4025,38950.60437500001,42394.19874999999,29626.43125,70282.28999999998,92428.2225,97255.29124999997,74183.54375,101837.18749999996,191311.83750000017,281491.7875,144562.56874999992,100250.4,144081.28124999994,297373.4375000004,326058.3937499999,323013.87500000006,431771.43125,638150.1875000001,681762.125,630689.4,729032.4874999999,917738.9125,868152.0,838092.525,869585.7062499998,925304.4125,930281.3999999998,848543.9999999999
ZnN6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98543.55999999984,222864.4000000001,351292.8,406248.7999999999,632256.0,822632.3999999998,1047464.0000000002,1329469.9999999998,1435328.0,1285680.0,1071174.0000000002,871884.3999999999,703871.6000000001,536138.8000000004,408268.0,362631.4000000001,328850.8,297704.8,333068.6,421098.0,478542.2,476536.8,516098.79999999993,530891.4,578127.0
K2Se4O,0.0,0.0,0.0,9478.61875,35723.815625,65107.51875000001,112609.125,113461.4,127420.81875,153596.625,193093.10625,234810.175,226762.05625,263897.05,273892.6875,275856.3,302405.29375000007,406725.2874999999,404773.2,426227.625,465719.81875,493458.8625000001,555964.9000000001,589069.7,641870.6562499999,709062.45,832450.7625,917996.0,951008.48125,959449.25,963050.3625,1086111.9999999998,1055768.5,1036640.875,1041370.9375,960588.7,938960.13125,935242.2125,935179.1625,944244.0
Pd(Se3Cl)2,0.0,0.0,0.0,0.0,0.0,14411.180000000002,47167.390000000014,95109.08000000005,173173.40000000002,262805.0,361587.2,399578.6,483783.8,470014.4,521792.25,646596.4000000001,618219.7,562027.7,593380.9,602069.0,586555.25,516228.5,485532.45,509337.4,601804.7500000001,792654.4999999998,938375.75,995028.2,1031218.5,1064640.0,1075982.0,1120340.0,1113771.0,1093967.0,1076267.5,1029098.0,1008265.5,1023234.0,1068993.5,1120830.0
TlN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23650.268750000003,49626.471875000025,93486.50000000007,198287.09375000003,313592.31250000006,440732.3750000001,534617.5000000002,653793.6250000002,646002.1249999998,564633.21875,552760.75,578439.4062500001,641941.0,706442.875,778423.5000000005,1029014.0312500008,1087827.5,1110986.25,1016403.7499999998,860745.4999999997,736018.8749999999,815399.2812500005,930527.0,937905.875,897441.6874999998,845535.0312500001,853280.875,877867.4062500001,957432.4375,972737.5624999997,903534.25
